cod,nombre,Lat,Long,ocupacion,intensidad
9012,ALCALA E-O - CASTELLO-NUÑEZ DE BALBOA,40.421986,-3.682080,32,1900
9013,ALCALA E-O - GENERAL PARDIÑAS - PRINCIPE VERGARA,40.423322,-3.679108,19,1520
9014,DR. GOMEZ ULLA E-O - RUIZ PERELLO-PL. MANUEL BECERRA,40.429449,-3.668102,1,120
9015,ALCALA E-O - CARDENAL BELLUGA-PL. MANUEL BECERRA,40.429192,-3.666555,17,2060
9016,ALCALA O-E - PLAZA MANUEL BECERRA-RUFINO BLANCO,40.428749,-3.667294,13,1820
9017,DR. ESQUERDO S-N - MARQUES ZAFRA-PL. MANUEL BECERRA,40.427080,-3.668365,74,580
9018,ALCALA O-E - AYALA-PL. MANUEL BECERRA,40.427294,-3.670315,9,1380
9019,ALCALA E-O  - PL. MANUEL BECERRA-AYALA,40.427496,-3.670068,18,1860
9021,FCO. SILVELA S-N - JOSE ORTEGA Y GASSET-PL. MANUEL BECERRA,40.429601,-3.669914,10,860
9022,ALCALA 213 O-N - RUFINO BLANCO-BOCANGEL,40.429461,-3.665815,11,1640
9023,JULIO CAMBA 5 N-S - AV. TOREROS-ALCALA,40.431163,-3.664155,5,1020
9024,ALCALA E-O(FRENTE PL. TOROS) - BRASILIA-JULIO CAMBA,40.431067,-3.662670,7,1580
9025,GOYA E-O - LOMBIA-FERNAN GONZALEZ,40.424701,-3.673018,17,1180
9026,GOYA O-E - FUENTE DEL BERRO-DR. ESQUERDO,40.424502,-3.670439,2,280
9027,NARVAEZ N-S - JORGE JUAN-DUQUE DE SESTO,40.423018,-3.675913,3,300
